length,width,beamRadius,opticalStepLength,acceptableOverlap,charLengthW,charLengthWVAR,charLengthVarW,charLengthVarWVAR,charLengthL,charLengthLVAR,charLengthVarL,charLengthVarLVAR,coverage,coverageVar
5.61E-03,0.00561,0.000007,0.000055,0.2,5.61E-03,5.61E-06,0.00E+00,0.00E+00,2.81E-03,2.81E-06,0.00E+00,0.00E+00,0.5,0.005
,,,,,,,,,,,,,0.5,0.005
